number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,exchange rate,LAT,LNG,timestamp,transaction year,transaction month,transaction day,filled decoration year,total
3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,7.405652509,47.367737,-122.117029,1398988800,2014,5,2,1966,342000.0001045965
3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,6.221002758,47.544034,-122.349874,1398988800,2014,5,2,2009,364999.9999655172
4,3.0,3110,7231,2.0,0,0,3,3110,0,1997,7.246575816,47.287074,-122.113839,1398988800,2014,5,2,1997,367499.9999694541
4,1.75,1560,8700,1.0,0,0,4,1560,0,1967,7.027655904,47.715769,-122.213748,1398988800,2014,5,2,1967,382500.0000929452
3,3.25,1320,1327,2.0,0,0,3,1040,280,2008,6.712977807,47.651371,-122.407349,1398988800,2014,5,2,2008,384999.9999552363
3,2.0,1960,13100,1.0,0,2,5,1650,310,1957,7.749723765,47.451576,-122.352986,1398988800,2014,5,2,1957,402999.99999761966
3,2.5,1930,10460,2.0,0,0,3,1930,0,1996,6.378198211,47.499429,-122.110157,1398988800,2014,5,2,1996,407500.0001021854
3,1.5,1570,6700,1.0,0,0,4,1570,0,1956,7.903107225,47.613825,-122.144365,1398988800,2014,5,2,1956,419000.00003359845
3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,6.369354964,47.605797,-122.099118,1398988800,2014,5,2,1963,419999.9999640184
4,1.5,1920,10000,1.0,0,0,4,1070,850,1954,6.441283761,47.557627,-122.151005,1398988800,2014,5,2,1979,430000.0000039196
4,1.0,1450,8800,1.0,0,0,4,1450,0,1954,6.708046609,47.557627,-122.151005,1398988800,2014,5,2,1979,435000.0000309359
3,2.5,1770,1235,3.0,0,0,3,1600,170,2007,6.020616795,47.678255,-122.338152,1398988800,2014,5,2,2007,436110.0000488889
3,2.25,1970,35100,2.0,0,0,4,1970,0,1977,6.843867937,47.493732,-121.998724,1398988800,2014,5,2,1977,437500.0001373067
3,2.5,1770,2875,2.0,0,0,3,1770,0,1990,6.761138743,47.574245,-122.400222,1398988800,2014,5,2,2009,439950.00002122903
3,2.5,1270,1180,3.0,0,0,3,1270,0,2001,6.517622688,47.667527,-122.377551,1398988800,2014,5,2,2001,445700.0000409877
3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,7.396501561,47.754413,-122.300477,1398988800,2014,5,2,1994,463000.000000527
5,2.5,2210,9655,1.0,0,0,3,1460,750,1976,7.394445538,47.753344,-122.201952,1398988800,2014,5,2,1976,470000.00000713434
4,2.5,2710,35868,2.0,0,0,3,2710,0,1989,6.608323589,47.419378,-121.958008,1398988800,2014,5,2,1989,482000.00010247354
4,1.75,2190,125452,1.0,0,2,3,2190,0,1968,7.678168411,47.287074,-122.113839,1398988800,2014,5,2,1997,491499.9999503717
4,1.75,1600,6380,1.0,0,0,3,1130,470,1959,6.477085168,47.716513,-122.295829,1398988800,2014,5,2,1989,494999.9999533414
3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,6.563174597,47.586092,-122.037436,1398988800,2014,5,2,2014,550000.0000965799
4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,7.562160105,47.68099,-122.120531,1398988800,2014,5,2,1992,550000.0000413094
3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,7.095021468,47.622542,-122.04421,1398988800,2014,5,2,1980,588500.0000169227
3,2.5,3240,33151,2.0,0,2,3,3240,0,1995,6.70055996,47.311491,-122.36281,1398988800,2014,5,2,1995,603999.9998611085
4,2.5,2730,12261,2.0,0,0,3,2730,0,1991,6.914442703,47.753344,-122.201952,1398988800,2014,5,2,1991,612499.9998769831
3,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,6.317630578,47.536464,-122.394409,1398988800,2014,5,2,1948,614999.9999597889
4,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,6.859682624,47.499429,-122.110157,1398988800,2014,5,2,2007,624999.9997949207
4,2.5,2820,8408,2.0,0,0,3,2820,0,2014,6.36074285,47.754413,-122.300477,1398988800,2014,5,2,2014,625000.000010636
3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,6.605479643,47.63714,-122.321891,1398988800,2014,5,2,2005,626000.000066018
4,2.75,2710,37277,2.0,0,0,3,2710,0,2000,6.070141424,47.493732,-121.998724,1398988800,2014,5,2,2000,630000.0001182907
4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,7.608990677,47.685746,-122.281589,1398988800,2014,5,2,2010,640000.0000207621
4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,6.552606479,47.685746,-122.281589,1398988800,2014,5,2,2010,650000.0000122049
4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,6.54788932,47.675982,-122.193578,1398988800,2014,5,2,1920,697999.9998854623
3,2.5,2390,6550,1.0,0,2,4,1440,950,1955,7.685164244,47.574245,-122.400222,1398988800,2014,5,2,2009,749999.9999658037
3,1.75,2240,10578,2.0,0,0,5,1550,690,1923,6.218582162,47.685746,-122.281589,1398988800,2014,5,2,1923,749999.9999564108
5,3.25,3660,11995,2.0,0,2,3,3660,0,2006,7.802356216,47.584223,-121.791951,1398988800,2014,5,2,2006,785000.0001262143
3,2.5,2600,4750,1.0,0,0,4,1700,900,1951,6.490620422,47.687761,-122.38487,1398988800,2014,5,2,1999,789999.9999338354
3,2.0,2710,4500,1.5,0,0,4,1880,830,1929,6.182380239,47.685746,-122.281589,1398988800,2014,5,2,1929,805000.0000397908
4,2.5,3310,42998,2.0,0,0,3,3310,0,2001,7.868323021,47.68099,-122.120531,1398988800,2014,5,2,2001,838000.0002053683
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,6.85237045,47.659861,-122.284977,1398988800,2014,5,2,1969,1200000.0000609013
3,1.0,1010,9945,1.0,0,0,4,1010,0,1973,6.4636882,47.584223,-121.791951,1399075200,2014,5,3,1973,309999.9999757201
3,2.5,1650,14054,1.0,0,0,4,1130,520,1986,6.520531852,47.493732,-121.998724,1399075200,2014,5,3,1986,379879.9999752866
4,2.5,2530,9933,2.0,0,2,3,2010,520,1990,7.073425123,47.287074,-122.113839,1399161600,2014,5,4,2009,331949.99991783395
3,2.5,2200,7350,1.0,0,0,5,1570,630,1988,6.046779165,47.442737,-122.123973,1399161600,2014,5,4,1988,365000.000023832
4,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,6.270899122,47.611046,-122.293207,1399161600,2014,5,4,2005,627999.9999829963
3,2.5,2850,7130,2.0,0,0,3,1990,860,1980,6.243772672,47.611046,-122.293207,1399161600,2014,5,4,1980,783499.9998717221
2,1.0,810,7158,1.0,0,0,5,810,0,1944,7.296828326,47.489569,-122.29996,1399248000,2014,5,5,1944,206000.00000076176
4,1.5,1240,9600,1.0,0,0,3,1240,0,1971,7.591894639,47.311491,-122.36281,1399248000,2014,5,5,1971,220000.00003990336
2,1.0,1200,8063,1.0,0,0,4,1200,0,1958,7.72684238,47.391319,-122.314971,1399248000,2014,5,5,1972,232000.00002987325
3,1.75,1920,9306,1.0,0,0,3,1000,920,1984,6.049017282,47.310617,-122.263291,1399248000,2014,5,5,1984,244999.99999165023
3,2.0,1550,15040,1.0,0,0,4,1550,0,1958,6.858465508,47.499429,-122.110157,1399248000,2014,5,5,1972,249949.9999234003
3,1.0,1450,6000,1.0,0,0,4,1450,0,1953,6.775490428,47.540246,-122.268545,1399248000,2014,5,5,1983,286999.99996028317
3,2.0,1050,10072,1.0,0,0,3,1050,0,1986,6.198315033,47.734333,-121.855307,1399248000,2014,5,5,1986,300000.00000888575
4,2.75,2310,5000,2.0,0,0,3,2310,0,2006,7.595682627,47.419378,-121.958008,1399248000,2014,5,5,2006,309950.0000677322
3,2.5,1880,7838,2.0,0,0,3,1880,0,1994,6.974961159,47.446982,-122.201521,1399248000,2014,5,5,1994,309949.99995161
4,2.5,2370,6500,2.0,0,0,3,2370,0,1998,6.745857027,47.287074,-122.113839,1399248000,2014,5,5,2006,327999.99994010286
2,1.0,1140,5250,1.5,0,0,4,1140,0,1949,6.577604475,47.740485,-122.342826,1399248000,2014,5,5,1985,329950.00001296774
5,1.0,1120,9022,1.5,0,0,4,1120,0,1962,7.428402362,47.715769,-122.213748,1399248000,2014,5,5,1962,340000.00004427973
2,1.5,1160,1438,2.0,0,0,3,1160,0,2001,6.508539724,47.585627,-122.29196,1399248000,2014,5,5,2001,339999.99997469987
3,3.0,1571,2017,3.0,0,0,3,1571,0,2008,6.167811556,47.716513,-122.295829,1399248000,2014,5,5,2008,366749.9999745974
4,1.75,1970,9389,1.0,0,0,5,1140,830,1960,7.988727564,47.740485,-122.342826,1399248000,2014,5,5,1960,379949.99999674497
5,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,7.839322233,47.311491,-122.36281,1399248000,2014,5,5,1997,384899.9999235352
3,2.5,2230,4000,2.0,0,0,3,2230,0,1954,7.545823175,47.585627,-122.29196,1399248000,2014,5,5,2005,398749.99997965014
2,1.75,2110,9519,1.0,0,0,2,2110,0,1948,6.737409588,47.754413,-122.300477,1399248000,2014,5,5,1948,400000.00005475944
2,1.0,840,5510,1.0,0,0,3,840,0,1955,7.900756381,47.536464,-122.394409,1399248000,2014,5,5,2005,399999.99998338794
2,3.0,1410,1240,2.0,0,0,3,1140,270,2006,6.625341022,47.536464,-122.394409,1399248000,2014,5,5,2006,405000.0000178107
3,2.25,1410,1332,3.0,0,0,3,1410,0,2005,6.908543321,47.678255,-122.338152,1399248000,2014,5,5,2005,406099.9999949899
3,2.25,1800,36704,1.0,0,0,4,1360,440,1978,7.950086786,47.493732,-121.998724,1399248000,2014,5,5,2000,409999.9999441745
3,2.25,1620,998,2.5,0,0,3,1540,80,2010,7.327000148,47.557085,-122.007748,1399248000,2014,5,5,2010,414999.99994022155
3,2.5,1408,989,3.0,0,0,3,1408,0,2005,6.118290625,47.685746,-122.281589,1399248000,2014,5,5,2005,416285.999952072
3,2.0,1410,6030,1.5,0,0,4,1410,0,1930,6.595839667,47.678255,-122.338152,1399248000,2014,5,5,1930,418000.00000681967
2,2.5,1590,1426,2.0,0,0,3,1590,0,2014,7.330179162,47.557085,-122.007748,1399248000,2014,5,5,2014,419190.000038196
5,2.0,1840,9240,1.0,0,0,4,1540,300,1942,6.53865355,47.740485,-122.342826,1399248000,2014,5,5,1958,434999.9999658379
4,2.0,1480,3844,1.5,0,0,5,1480,0,1928,7.602079056,47.740485,-122.342826,1399248000,2014,5,5,1970,449249.9999699407
3,2.5,3040,4535,2.0,0,0,3,3040,0,2007,7.516168047,47.512527,-122.190248,1399248000,2014,5,5,2007,478000.0000343306
4,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,6.458344621,47.715769,-122.213748,1399248000,2014,5,5,1979,484999.99990657147
4,1.75,2010,9211,1.0,0,0,3,1470,540,1977,7.811246113,47.715769,-122.213748,1399248000,2014,5,5,2004,487584.9999965071
4,2.5,2910,6479,2.0,0,0,3,2910,0,2006,7.7491122,47.584223,-121.791951,1399248000,2014,5,5,2006,499000.0000415429
4,1.0,2070,7519,1.0,0,0,3,1160,910,1963,7.055712921,47.605797,-122.099118,1399248000,2014,5,5,2008,500999.99997459847
3,2.5,1790,2700,2.0,0,0,3,1790,0,2010,6.034671033,47.493732,-121.998724,1399248000,2014,5,5,2010,509899.99999432464
3,1.75,1560,5520,1.0,0,0,4,780,780,1944,7.113558836,47.651371,-122.407349,1399248000,2014,5,5,1944,524000.0000316822
5,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,6.09387286,47.557627,-122.151005,1399248000,2014,5,5,2001,541125.0000461389
4,2.5,2910,6338,2.0,0,0,3,2910,0,2008,6.341038861,47.499429,-122.110157,1399248000,2014,5,5,2008,549000.0000873212
3,2.5,1940,3211,2.0,0,0,3,1940,0,2009,6.071957364,47.493732,-121.998724,1399248000,2014,5,5,2009,554999.9999129812
3,2.5,1900,8744,2.0,0,0,3,1900,0,1987,7.310999816,47.622542,-122.04421,1399248000,2014,5,5,2000,559999.9999417498
3,2.25,2010,6000,1.0,0,0,3,1330,680,1975,6.278156551,47.68099,-122.120531,1399248000,2014,5,5,1975,569999.9999468933
2,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,6.116115297,47.540246,-122.268545,1399248000,2014,5,5,1942,579999.9999768168
2,1.0,1770,8640,1.5,0,0,3,1520,250,1949,7.038668541,47.687761,-122.38487,1399248000,2014,5,5,1998,584999.9998880783
3,1.75,1670,39639,1.0,0,0,4,1670,0,1976,7.064966637,47.586092,-122.037436,1399248000,2014,5,5,1992,600000.0000647134
3,1.75,1880,6360,1.0,0,0,4,1040,840,1945,7.43392241,47.685746,-122.281589,1399248000,2014,5,5,1945,599999.9999585248
4,1.75,2300,11700,1.0,0,0,4,1960,340,1977,6.416538914,47.68099,-122.120531,1399248000,2014,5,5,1977,614999.9999666901
3,2.0,1800,5000,1.0,0,0,4,1080,720,1942,7.315469218,47.685746,-122.281589,1399248000,2014,5,5,1982,618499.9999223965
4,2.25,1990,7712,1.0,0,0,3,1210,780,1973,7.249852838,47.493732,-121.998724,1399248000,2014,5,5,2013,626999.9999003417
4,2.5,2440,6651,2.0,0,0,3,2440,0,2014,7.57440661,47.687761,-122.38487,1399248000,2014,5,5,2014,631625.0001057932
3,1.5,2160,9000,1.0,0,2,4,1400,760,1949,6.67339354,47.742239,-122.376608,1399248000,2014,5,5,1985,650000.0000398236
3,2.5,1680,2000,3.0,0,0,3,1680,0,1909,7.704273264,47.659861,-122.284977,1399248000,2014,5,5,1998,669999.9999257537
3,2.5,2490,4343,2.0,0,0,3,2490,0,2003,6.6463109,47.557085,-122.007748,1399248000,2014,5,5,2003,705379.9999923083
4,2.5,3180,21904,2.0,0,3,3,3180,0,2000,6.736605589,47.499429,-122.110157,1399248000,2014,5,5,2000,736500.0000367132
4,2.5,2800,5900,1.0,0,0,3,1660,1140,1963,7.553723257,47.685746,-122.281589,1399248000,2014,5,5,2008,744312.4999380829
4,2.5,2120,10202,1.0,0,0,4,1620,500,1960,7.402041283,47.614533,-122.168798,1399248000,2014,5,5,2001,754999.9999241385
3,2.0,2350,5700,1.5,0,0,4,1810,540,1939,7.767724558,47.63281,-122.288511,1399248000,2014,5,5,1989,770000.0000139353
4,2.5,2730,10281,2.0,0,2,3,2730,0,1996,6.387260194,47.622542,-122.04421,1399248000,2014,5,5,1996,779999.9999901572
3,2.5,3240,7857,2.0,0,0,3,3240,0,1994,6.909407491,47.586092,-122.037436,1399248000,2014,5,5,1994,800000.0000686995
5,2.5,3180,13806,2.0,0,0,4,3180,0,1990,6.663166777,47.675982,-122.193578,1399248000,2014,5,5,1990,800865.9999208617
6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,7.871275749,47.611046,-122.293207,1399248000,2014,5,5,1908,822999.9998789635
4,2.5,3400,9692,2.0,0,0,3,3400,0,2007,7.792567538,47.68099,-122.120531,1399248000,2014,5,5,2007,829999.9999401424
4,3.0,2170,4000,2.0,0,0,4,1610,560,1982,7.088075843,47.63281,-122.288511,1399248000,2014,5,5,2011,831000.0000449358
4,3.0,3690,9892,2.0,0,0,3,3690,0,1998,6.062798931,47.586092,-122.037436,1399248000,2014,5,5,2006,865000.0001267862
4,4.25,4420,5750,2.0,0,0,3,3410,1010,2006,7.821919405,47.493732,-121.998724,1399248000,2014,5,5,2006,890000.0001129404
5,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,6.28604995,47.493732,-121.998724,1399248000,2014,5,5,2006,890000.0000300757
5,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,7.330325503,47.557627,-122.151005,1399248000,2014,5,5,1976,1030000.0000198768
5,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,6.285942376,47.659861,-122.284977,1399248000,2014,5,5,1971,1394999.9999132855
7,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,7.442177152,47.669256,-122.008454,1399248000,2014,5,5,1999,2279999.999422842
3,1.5,1420,8580,1.0,0,0,3,1420,0,1962,7.274198783,47.311491,-122.36281,1399334400,2014,5,6,2003,136500.00005390286
3,1.0,1010,7034,1.0,0,0,3,1010,0,1954,6.203209507,47.47202,-122.2219,1399334400,2014,5,6,2005,175000.00003007037
3,1.5,800,8850,1.0,0,0,4,800,0,1959,7.99793349,47.311491,-122.36281,1399334400,2014,5,6,1959,190999.99996260196
3,1.75,1690,7735,1.0,0,0,4,1060,630,1976,6.403011363,47.310617,-122.263291,1399334400,2014,5,6,1992,196999.9999583116
3,1.75,1850,7684,1.0,0,0,3,1320,530,1979,7.304641389,47.311491,-122.36281,1399334400,2014,5,6,2014,217999.9999911172
2,1.0,900,5160,1.0,0,0,3,900,0,1952,6.026750745,47.544034,-122.349874,1399334400,2014,5,6,2008,218999.99999220792
3,1.75,1490,8366,1.0,0,0,4,1010,480,1975,6.912240622,47.367737,-122.117029,1399334400,2014,5,6,1975,233999.99999859373
3,1.0,1050,6874,1.0,0,0,3,1050,0,1954,6.709705365,47.740485,-122.342826,1399334400,2014,5,6,2005,249999.99998378052
3,2.5,1650,13816,2.0,0,0,3,1650,0,1998,6.377775256,47.662086,-121.89187,1399334400,2014,5,6,2006,272000.00006700464
3,1.75,1580,8151,1.0,0,1,4,1100,480,1962,7.545590932,47.391319,-122.314971,1399334400,2014,5,6,1962,279899.99996084353
3,2.25,1970,11088,1.0,0,0,4,1180,790,1967,7.447117983,47.754413,-122.300477,1399334400,2014,5,6,1967,279999.9999982605
3,1.75,1630,11800,1.0,0,0,4,1630,0,1971,6.37180511,47.388327,-121.606221,1399334400,2014,5,6,1971,279999.9999520011
4,2.5,2000,5390,2.0,0,0,3,2000,0,2003,7.262736465,47.367737,-122.117029,1399334400,2014,5,6,2003,284000.000021988
3,2.25,1980,8000,1.0,0,0,4,1560,420,1974,6.033263716,47.311491,-122.36281,1399334400,2014,5,6,1974,295000.0000228788
4,2.0,1300,7054,1.0,0,0,3,1300,0,1950,6.741871239,47.500058,-122.357848,1399334400,2014,5,6,2013,311999.9999678889
3,1.0,1510,6083,1.0,0,0,4,860,650,1940,7.857909498,47.685746,-122.281589,1399334400,2014,5,6,2001,313950.00003727875
4,2.5,1890,6156,1.0,0,0,3,980,910,1980,7.039593149,47.544034,-122.349874,1399334400,2014,5,6,1980,324999.9999163915
2,1.0,720,6687,1.0,0,0,3,720,0,1942,7.767954241,47.687761,-122.38487,1399334400,2014,5,6,1999,329350.0000490701
4,2.5,2331,3826,2.0,0,0,3,2331,0,2007,7.315431444,47.442737,-122.123973,1399334400,2014,5,6,2007,344999.99999695143
3,1.0,1110,6250,1.0,0,0,3,1110,0,1956,6.941293279,47.685746,-122.281589,1399334400,2014,5,6,2001,344999.9999881136
3,1.0,1350,7740,1.0,0,0,4,860,490,1947,7.80106809,47.716513,-122.295829,1399334400,2014,5,6,1988,353000.00001272437
4,2.0,2680,18768,1.0,0,0,5,2680,0,1965,7.685638568,47.310617,-122.263291,1399334400,2014,5,6,1965,360000.00004378264
3,2.25,1640,14374,1.0,0,0,4,1140,500,1963,7.347036227,47.444098,-122.324859,1399334400,2014,5,6,1963,361999.99998721975
3,1.5,1310,8160,1.0,0,0,3,1310,0,1950,6.786610867,47.740485,-122.342826,1399334400,2014,5,6,2005,364999.99995231006
3,1.5,1410,9647,1.0,0,0,3,1410,0,1961,7.126380899,47.742239,-122.376608,1399334400,2014,5,6,2004,367500.0000785688
3,2.0,1270,1320,3.0,0,0,3,1270,0,2006,6.195681903,47.678255,-122.338152,1399334400,2014,5,6,2006,369950.0000062542
4,1.75,1500,11600,1.0,0,0,4,1000,500,1955,6.335647357,47.755665,-122.248061,1399334400,2014,5,6,2009,379899.9999971336
3,1.75,1900,5520,1.0,0,0,3,1280,620,1982,6.259495209,47.540246,-122.268545,1399334400,2014,5,6,1982,385000.0000220928
3,1.0,1230,9568,1.0,0,0,5,1230,0,1962,6.732067622,47.512527,-122.190248,1399334400,2014,5,6,1962,386999.999942929
5,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,6.815399691,47.585627,-122.29196,1399334400,2014,5,6,2006,389999.9999049388
3,1.75,1260,6500,1.0,0,0,4,1260,0,1966,7.718289819,47.605797,-122.099118,1399334400,2014,5,6,1966,390000.0000529905
4,2.0,1440,7680,1.0,0,0,3,1200,240,1971,7.342406238,47.715769,-122.213748,1399334400,2014,5,6,1971,397000.0000307762
4,1.75,1840,10720,1.0,0,0,3,960,880,1958,7.567465929,47.605797,-122.099118,1399334400,2014,5,6,2004,404000.0000123509
4,2.0,1520,7983,1.0,0,0,5,1520,0,1967,7.179957532,47.715769,-122.213748,1399334400,2014,5,6,1967,424999.99997817795
3,3.5,3020,4082,2.0,0,0,3,2080,940,1954,7.035427296,47.651371,-122.407349,1399334400,2014,5,6,2004,439333.3333203549
5,2.5,2240,7770,1.0,0,0,3,1340,900,1978,6.407137289,47.715769,-122.213748,1399334400,2014,5,6,1978,454999.99997698574
6,3.0,3470,117612,1.5,0,0,3,3470,0,1924,6.941112469,47.755665,-122.248061,1399334400,2014,5,6,2011,474999.9996897641
4,2.5,2740,45732,2.0,0,0,3,2740,0,1995,7.448757998,47.752379,-122.060283,1399334400,2014,5,6,1995,483499.99979227094
2,1.75,1660,6000,1.0,0,0,3,1160,500,1942,7.405129567,47.659861,-122.284977,1399334400,2014,5,6,1999,484000.0000296546
3,2.0,1420,4080,1.5,0,0,3,1420,0,1905,7.591634747,47.678255,-122.338152,1399334400,2014,5,6,2013,484999.99999712646
5,2.0,2020,5000,1.5,0,0,4,2020,0,1938,6.587722764,47.687761,-122.38487,1399334400,2014,5,6,1938,488000.0000354859
2,1.75,1170,2400,1.0,0,0,4,740,430,1903,7.384240469,47.678255,-122.338152,1399334400,2014,5,6,1903,499000.0000327646
3,2.5,1480,1171,3.0,0,0,3,1480,0,2006,6.318972162,47.63281,-122.288511,1399334400,2014,5,6,2006,500000.00000639487
4,2.5,2000,5684,2.0,0,0,3,2000,0,1996,7.338090402,47.755665,-122.248061,1399334400,2014,5,6,1996,512999.9999740225
3,2.5,1790,7167,2.0,0,0,3,1790,0,1989,6.746891424,47.622542,-122.04421,1399334400,2014,5,6,1989,515000.0000519403
3,1.5,1430,8000,1.0,0,0,4,1430,0,1956,6.289467993,47.613825,-122.144365,1399334400,2014,5,6,1956,518000.0000119136
3,2.5,2460,54885,2.0,0,0,4,2460,0,1980,7.823270627,47.499429,-122.110157,1399334400,2014,5,6,1980,519999.99994631426
3,2.5,2970,11985,1.0,0,0,3,1770,1200,1995,7.93265174,47.622542,-122.04421,1399334400,2014,5,6,1995,524999.9999294389
5,2.5,2910,9636,1.0,0,0,4,1690,1220,1964,6.90858692,47.605797,-122.099118,1399334400,2014,5,6,1964,530000.0000221782
5,2.75,1800,3780,1.5,0,0,3,1400,400,1926,6.811713276,47.678255,-122.338152,1399334400,2014,5,6,2003,532999.9999904677
3,2.5,1850,10109,2.0,0,0,3,1850,0,1991,6.723245051,47.715769,-122.213748,1399334400,2014,5,6,1991,534999.999935508
3,2.0,2000,7000,2.0,0,0,3,2000,0,1916,7.809158366,47.536464,-122.394409,1399334400,2014,5,6,1986,561000.0000077933
5,2.25,3040,8111,2.0,0,0,3,3040,0,1984,7.114473149,47.68099,-122.120531,1399334400,2014,5,6,1984,562000.0001000765
4,3.0,3100,15480,2.0,0,0,3,2400,700,1996,7.400867765,47.755665,-122.248061,1399334400,2014,5,6,1996,563000.00006315
3,1.75,2130,6500,1.0,0,2,3,1170,960,1954,6.333696437,47.651371,-122.407349,1399334400,2014,5,6,2005,575000.0000900916
4,2.25,2260,29930,2.0,0,0,4,1400,860,1977,7.484127273,47.557627,-122.151005,1399334400,2014,5,6,1977,599000.000060986
4,2.5,2110,13850,2.0,0,0,3,2110,0,1987,6.901573955,47.493732,-121.998724,1399334400,2014,5,6,2000,606000.0000277302
4,2.5,2150,37981,2.0,0,0,3,2150,0,1985,6.500301142,47.68099,-122.120531,1399334400,2014,5,6,1985,608999.9999792627
4,3.0,2450,10117,1.0,0,0,5,1580,870,1967,7.640243892,47.557627,-122.151005,1399334400,2014,5,6,1967,609999.9999771853
4,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,7.798696583,47.687761,-122.38487,1399334400,2014,5,6,2013,612499.9999261779
3,1.5,1630,7475,1.0,0,1,3,1160,470,1940,7.858570366,47.685746,-122.281589,1399334400,2014,5,6,1996,649999.9999607676
4,3.5,3380,8330,2.0,0,0,3,3380,0,2000,7.953365869,47.742239,-122.376608,1399334400,2014,5,6,2000,655499.9998984691
4,2.5,3030,7864,2.0,0,0,3,3030,0,1999,6.805185332,47.622542,-122.04421,1399334400,2014,5,6,1999,684999.9999661157
4,2.5,3200,12369,2.0,0,0,3,3200,0,1998,7.692372467,47.499429,-122.110157,1399334400,2014,5,6,2006,725126.0000418505
4,2.5,2290,12047,2.0,0,0,4,2290,0,1988,6.542495614,47.557627,-122.151005,1399334400,2014,5,6,1988,736000.0000833431
4,2.5,3880,14550,2.0,0,0,3,3880,0,1987,7.871364274,47.622542,-122.04421,1399334400,2014,5,6,2000,762300.000181563
4,2.5,3040,6425,2.0,0,0,3,3040,0,2008,7.071184477,47.68099,-122.120531,1399334400,2014,5,6,2008,776000.0000960794
4,2.0,3740,32417,2.0,0,0,3,3740,0,2000,6.75222445,47.669256,-122.008454,1399334400,2014,5,6,2000,860000.000036114
3,2.5,2690,4047,3.0,0,0,3,2690,0,2014,7.104839757,47.687761,-122.38487,1399334400,2014,5,6,2014,979000.0000556486
