date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,total cost
2014/5/2 0:00,5,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,7.394445538,431252.0646856924
2014/5/2 0:00,4,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,6.608323589,494874.0504461494
2014/5/2 0:00,4,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,7.678168411,434315.00361529127
2014/5/2 0:00,4,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,6.477085168,518518.83333973
2014/5/2 0:00,4,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,6.955319279,487695.1603666194
2014/5/2 0:00,3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,6.563174597,568574.8897585329
2014/5/2 0:00,4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,7.562160105,493464.3303985267
2014/5/2 0:00,4,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,7.959386377,473099.3372065611
2014/5/2 0:00,3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,7.095021468,562770.9837784831
2014/5/2 0:00,3,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,6.70055996,611596.2088938078
2014/5/2 0:00,4,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,6.914442703,601018.520088003
2014/5/2 0:00,3,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,6.317630578,660480.2454970602
2014/5/2 0:00,4,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,6.859682624,618179.9832870185
2014/5/2 0:00,4,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,6.36074285,666670.3231560703
2014/5/2 0:00,3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,6.605479643,642996.9587121352
2014/5/2 0:00,4,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,6.070141424,704175.1322436045
2014/5/2 0:00,4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,7.608990677,570678.9664372284
2014/5/2 0:00,4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,6.552606479,673035.8743679422
2014/5/2 0:00,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,6.54788932,723257.65125347
2014/5/2 0:00,3,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,7.685164244,662135.7758542114
2014/5/2 0:00,3,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,6.218582162,818292.9897267241
2014/5/2 0:00,5,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,7.802356216,682626.0014820044
2014/5/2 0:00,3,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,6.490620422,825809.402491521
2014/5/2 0:00,3,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,6.182380239,883444.176167886
2014/5/2 0:00,4,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,7.868323021,722604.699792661
2014/5/2 0:00,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,6.85237045,1188172.1169370236
2014/5/3 0:00,3,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,6.4636882,325402.0160649557
2014/5/3 0:00,3,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,6.520531852,395277.73523128306
2014/5/3 0:00,4,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,6.836105688,620312.0145096936
2014/5/4 0:00,4,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,7.073425123,318406.4496833181
2014/5/4 0:00,3,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,6.046779165,409550.72634138376
2014/5/4 0:00,4,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,6.270899122,679467.6324714497
2014/5/4 0:00,2,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,6.055589845,868328.7778072375
2014/5/4 0:00,3,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,6.243772672,851394.5428538267
2014/5/5 0:00,2,1.0,810,7158,1.0,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,7.296828326,191545.53626278756
2014/5/5 0:00,4,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,7.591894639,196612.6481159056
2014/5/5 0:00,2,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,7.72684238,203715.8759998783
2014/5/5 0:00,3,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,6.049017282,274802.198608324
2014/5/5 0:00,3,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,6.858465508,247266.41149144113
2014/5/5 0:00,3,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,6.775490428,287395.59322015295
2014/5/5 0:00,3,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,6.198315033,328387.4512707893
2014/5/5 0:00,4,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,7.595682627,276862.2695167607
2014/5/5 0:00,3,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,6.974961159,301501.02372095257
2014/5/5 0:00,4,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,6.745857027,329894.9406864754
2014/5/5 0:00,2,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,6.577604475,340344.95848713734
2014/5/5 0:00,5,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,7.428402362,310543.49873952486
2014/5/5 0:00,2,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,6.508539724,354433.12277283147
2014/5/5 0:00,3,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,6.167811556,403439.0849818544
2014/5/5 0:00,4,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,7.988727564,322691.6903256929
2014/5/5 0:00,5,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,7.839322233,333125.8531687148
2014/5/5 0:00,3,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,7.545823175,358536.2040079119
2014/5/5 0:00,2,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,6.737409588,402815.32528545056
2014/5/5 0:00,2,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,7.900756381,343502.78674758825
2014/5/5 0:00,2,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,6.625341022,414749.3651008086
2014/5/5 0:00,3,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,6.908543321,398827.82329311344
2014/5/5 0:00,3,2.25,1800,36704,1.0,0,0,4,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,7.950086786,349905.6305624125
2014/5/5 0:00,3,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,7.327000148,384291.55464845954
2014/5/5 0:00,3,2.5,1408,989,3.0,0,0,3,1408,0,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,6.118290625,461637.0391382663
2014/5/5 0:00,3,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,901 N 97th St,Seattle,WA 98103,USA,6.595839667,429976.91123140976
2014/5/5 0:00,2,2.5,1590,1426,2.0,0,0,3,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,7.330179162,388003.164937443
2014/5/5 0:00,5,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,6.53865355,451377.4658818277
2014/5/5 0:00,4,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,519 N 104th St,Seattle,WA 98133,USA,7.602079056,400954.0901710076
2014/5/5 0:00,3,2.5,3040,4535,2.0,0,0,3,3040,0,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,7.516168047,431489.6263709
2014/5/5 0:00,4,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,6.458344621,509517.9247444038
2014/5/5 0:00,4,1.75,2010,9211,1.0,0,0,3,1470,540,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA,7.811246113,423515.15824861976
2014/5/5 0:00,4,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,7.7491122,436905.52882894914
2014/5/5 0:00,4,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,7.055712921,481765.5792509043
2014/5/5 0:00,3,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,6.034671033,573284.705486761
2014/5/5 0:00,3,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,7.113558836,499785.0984638933
2014/5/5 0:00,5,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,6.09387286,602480.720288164
2014/5/5 0:00,4,2.5,2910,6338,2.0,0,0,3,2910,0,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,6.341038861,587422.9010353417
2014/5/5 0:00,3,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,6.071957364,620159.2326661126
2014/5/5 0:00,3,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,7.310999816,519696.9858280711
2014/5/5 0:00,3,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,6.278156551,616001.3424710919
2014/5/5 0:00,2,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,6.116115297,643415.1366722846
2014/5/5 0:00,2,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998,353 NW 88th St,Seattle,WA 98117,USA,7.038668541,563902.858037797
2014/5/5 0:00,3,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,7.064966637,576209.055357648
2014/5/5 0:00,3,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,7.43392241,547611.0089395724
2014/5/5 0:00,4,1.75,2300,11700,1.0,0,0,4,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,6.416538914,650299.2113177727
2014/5/5 0:00,3,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA,7.315469218,573636.0817552241
2014/5/5 0:00,4,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,7.249852838,586782.6899117308
2014/5/5 0:00,4,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,7.57440661,565782.6690102975
2014/5/5 0:00,3,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,6.67339354,660854.0624400515
2014/5/5 0:00,3,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,7.704273264,590040.8340080201
2014/5/5 0:00,3,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,6.6463109,720081.1345314125
2014/5/5 0:00,4,2.5,2450,4247,2.0,0,0,3,2450,0,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA,7.618508304,634263.541965634
2014/5/5 0:00,4,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,6.736605589,741772.2359310433
2014/5/5 0:00,4,2.5,2800,5900,1.0,0,0,3,1660,1140,1963,2008,7052 39th Ave NE,Seattle,WA 98115,USA,7.553723257,668548.9127669174
2014/5/5 0:00,4,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,7.402041283,692045.091491189
2014/5/5 0:00,3,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,7.767724558,672567.4606901462
2014/5/5 0:00,4,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,6.387260194,828550.4138354221
2014/5/5 0:00,3,2.5,3240,7857,2.0,0,0,3,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,6.909407491,785575.8509447152
2014/5/5 0:00,5,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,6.663166777,815489.0178407035
2014/5/5 0:00,6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,7.871275749,709404.0313815955
2014/5/5 0:00,4,2.5,3400,9692,2.0,0,0,3,3400,0,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,7.792567538,722664.0678457571
2014/5/5 0:00,4,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,7.088075843,795447.6660741455
2014/5/5 0:00,4,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,6.062798931,968014.5522791084
2014/5/5 0:00,4,4.25,4420,5750,2.0,0,0,3,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,7.821919405,771997.0022250928
2014/5/5 0:00,5,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,6.28604995,960618.8910007084
2014/5/5 0:00,5,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,7.330325503,953351.1807701864
2014/5/5 0:00,5,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,6.285942376,1505714.9279666983
2014/5/5 0:00,7,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,7.442177152,2078613.7088938896
2014/5/6 0:00,3,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA,7.274198783,127317.0099529189
2014/5/6 0:00,3,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,USA,6.203209507,191408.20190163897
2014/5/6 0:00,3,1.5,800,8850,1.0,0,0,4,800,0,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA,7.99793349,162029.66082333107
2014/5/6 0:00,3,1.75,1690,7735,1.0,0,0,4,1060,630,1976,1992,30020 43rd Pl S,Auburn,WA 98001,USA,6.403011363,208747.3147217576
2014/5/6 0:00,3,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,33945 28th Pl SW,Federal Way,WA 98023,USA,7.304641389,202486.71644785817
2014/5/6 0:00,2,1.0,900,5160,1.0,0,0,3,900,0,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA,6.026750745,246547.06029013515
2014/5/6 0:00,3,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,25305 151st Pl SE,Covington,WA 98042,USA,6.912240622,229686.75570427193
2014/5/6 0:00,3,1.0,1050,6874,1.0,0,0,3,1050,0,1954,2005,18305 Dayton Ave N,Shoreline,WA 98133,USA,6.709705365,252799.0879059939
2014/5/6 0:00,3,2.5,1650,13816,2.0,0,0,3,1650,0,1998,2006,32000-32072 NE 55th St,Carnation,WA 98014,USA,6.377775256,289360.09404070093
2014/5/6 0:00,3,1.75,1580,8151,1.0,0,1,4,1100,480,1962,0,1629 S 261st Pl,Des Moines,WA 98198,USA,7.545590932,251679.93043486789
2014/5/6 0:00,3,2.25,1970,11088,1.0,0,0,4,1180,790,1967,0,18738-18798 49th Pl NE,Lake Forest Park,WA 98155,USA,7.447117983,255098.9911002996
2014/5/6 0:00,3,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,12525 458th Ave SE,North Bend,WA 98045,USA,6.37180511,298149.77874524717
2014/5/6 0:00,4,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,7.262736465,265312.064104089
2014/5/6 0:00,3,2.25,1980,8000,1.0,0,0,4,1560,420,1974,0,31966 36th Ave SW,Federal Way,WA 98023,USA,6.033263716,331748.2580310979
2014/5/6 0:00,4,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,2815 SW 107th St,Seattle,WA 98146,USA,6.741871239,313988.0243290022
2014/5/6 0:00,3,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,415 NE 94th St,Seattle,WA 98115,USA,7.857909498,271076.83657081873
2014/5/6 0:00,4,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,5631 17th Ave SW,Seattle,WA 98106,USA,7.039593149,313238.21820526215
2014/5/6 0:00,2,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,9712 4th Ave NW,Seattle,WA 98117,USA,7.767954241,287666.93973140157
2014/5/6 0:00,4,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,11853 SE 176th Ct,Renton,WA 98058,USA,7.315431444,319976.5078885641
2014/5/6 0:00,3,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001,3230 NE 95th St,Seattle,WA 98115,USA,6.941293279,337223.35492883483
2014/5/6 0:00,3,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988,11051 35th Ave NE,Seattle,WA 98125,USA,7.80106809,307014.990295301
2014/5/6 0:00,4,2.0,2680,18768,1.0,0,0,5,2680,0,1965,0,31607-31633 44th Ave S,Auburn,WA 98001,USA,7.685638568,317805.55768350017
2014/5/6 0:00,3,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0,17253 Ambaum Blvd S,Burien,WA 98148,USA,7.347036227,334299.19686787575
2014/5/6 0:00,3,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,13714 Ashworth Ave N,Seattle,WA 98133,USA,6.786610867,364904.19844288856
2014/5/6 0:00,3,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,18048 3rd Ave NW,Shoreline,WA 98177,USA,7.126380899,349886.5565462495
2014/5/6 0:00,3,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0,8846 Midvale Ave N,Seattle,WA 98103,USA,6.195681903,405128.5628734019
2014/5/6 0:00,4,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,15007 75th Ave NE,Kenmore,WA 98028,USA,6.335647357,406834.00045207905
2014/5/6 0:00,3,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,5215 32nd Ave S,Seattle,WA 98118,USA,6.259495209,417311.5089223317
2014/5/6 0:00,3,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0,12116 SE 71st Pl,Newcastle,WA 98056,USA,6.732067622,390033.0770317956
2014/5/6 0:00,5,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0,3665 Renton Ave S,Seattle,WA 98144,USA,6.815399691,388250.67609597166
2014/5/6 0:00,3,1.75,1260,6500,1.0,0,0,4,1260,0,1966,0,1415 168th Ave NE,Bellevue,WA 98008,USA,7.718289819,342832.8814999544
